




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (8193)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	406	250	161.51	+	1.55	8.26E-08	4.67E-06
positive regulation of programmed cell death (GO:0043068)	524	307	208.46	+	1.47	8.32E-08	4.69E-06
positive regulation of transferase activity (GO:0051347)	551	320	219.20	+	1.46	8.61E-08	4.83E-06
positive regulation of cell death (GO:0010942)	587	337	233.52	+	1.44	8.78E-08	4.91E-06
response to oxidative stress (GO:0006979)	382	237	151.97	+	1.56	9.72E-08	5.41E-06
generation of neurons (GO:0048699)	1237	635	492.10	+	1.29	9.82E-08	5.46E-06
regulation of protein catabolic process (GO:0042176)	398	245	158.33	+	1.55	1.01E-07	5.61E-06
cellular amide metabolic process (GO:0043603)	780	427	310.30	+	1.38	1.02E-07	5.65E-06
actin filament-based process (GO:0030029)	599	342	238.29	+	1.44	1.14E-07	6.24E-06
negative regulation of cell cycle (GO:0045786)	345	218	137.25	+	1.59	1.15E-07	6.27E-06
modification-dependent macromolecule catabolic process (GO:0043632)	547	317	217.60	+	1.46	1.17E-07	6.39E-06
negative regulation of programmed cell death (GO:0043069)	888	476	353.26	+	1.35	1.18E-07	6.43E-06
intracellular protein transport (GO:0006886)	689	384	274.09	+	1.40	1.24E-07	6.72E-06
heart development (GO:0007507)	533	310	212.04	+	1.46	1.26E-07	6.82E-06
modification-dependent protein catabolic process (GO:0019941)	536	311	213.23	+	1.46	1.36E-07	7.30E-06
positive regulation of response to stimulus (GO:0048584)	2080	1004	827.46	+	1.21	1.43E-07	7.65E-06
ubiquitin-dependent protein catabolic process (GO:0006511)	525	305	208.85	+	1.46	1.57E-07	8.41E-06
amide biosynthetic process (GO:0043604)	500	293	198.91	+	1.47	1.59E-07	8.46E-06
chromatin organization (GO:0006325)	686	381	272.90	+	1.40	1.68E-07	8.94E-06
nucleobase-containing compound biosynthetic process (GO:0034654)	738	405	293.59	+	1.38	1.72E-07	9.11E-06
blood vessel morphogenesis (GO:0048514)	404	246	160.72	+	1.53	1.91E-07	1.01E-05
aromatic compound biosynthetic process (GO:0019438)	821	443	326.61	+	1.36	1.94E-07	1.02E-05
organic cyclic compound biosynthetic process (GO:1901362)	948	501	377.13	+	1.33	1.94E-07	1.02E-05
regulation of binding (GO:0051098)	368	228	146.40	+	1.56	1.96E-07	1.02E-05
proteasomal protein catabolic process (GO:0010498)	344	216	136.85	+	1.58	2.25E-07	1.17E-05
positive regulation of protein phosphorylation (GO:0001934)	723	397	287.62	+	1.38	2.25E-07	1.17E-05
tissue development (GO:0009888)	1597	790	635.31	+	1.24	2.37E-07	1.23E-05
negative regulation of protein phosphorylation (GO:0001933)	327	207	130.09	+	1.59	2.54E-07	1.31E-05
positive regulation of phosphorus metabolic process (GO:0010562)	886	472	352.46	+	1.34	2.56E-07	1.31E-05
positive regulation of phosphate metabolic process (GO:0045937)	886	472	352.46	+	1.34	2.56E-07	1.31E-05
positive regulation of cellular component biogenesis (GO:0044089)	514	298	204.48	+	1.46	2.70E-07	1.38E-05
negative regulation of apoptotic process (GO:0043066)	870	464	346.10	+	1.34	2.82E-07	1.44E-05
microtubule-based process (GO:0007017)	765	415	304.33	+	1.36	3.14E-07	1.59E-05
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	306	196	121.73	+	1.61	3.15E-07	1.59E-05
response to organic cyclic compound (GO:0014070)	896	475	356.44	+	1.33	3.42E-07	1.72E-05
regulation of intracellular transport (GO:0032386)	343	214	136.45	+	1.57	3.48E-07	1.75E-05
response to growth factor (GO:0070848)	485	283	192.94	+	1.47	3.74E-07	1.87E-05
positive regulation of cell differentiation (GO:0045597)	833	446	331.38	+	1.35	3.76E-07	1.88E-05
regulation of establishment of protein localization (GO:0070201)	541	309	215.22	+	1.44	4.08E-07	2.03E-05
cellular response to chemical stress (GO:0062197)	269	176	107.01	+	1.64	4.30E-07	2.13E-05
regulation of protein-containing complex assembly (GO:0043254)	433	257	172.25	+	1.49	4.36E-07	2.15E-05
cellular response to hormone stimulus (GO:0032870)	484	282	192.54	+	1.46	4.47E-07	2.20E-05
regulation of neuron projection development (GO:0010975)	443	262	176.23	+	1.49	4.54E-07	2.23E-05
response to endoplasmic reticulum stress (GO:0034976)	217	149	86.33	+	1.73	4.55E-07	2.23E-05
cellular response to nitrogen compound (GO:1901699)	626	349	249.03	+	1.40	4.89E-07	2.39E-05
small molecule metabolic process (GO:0044281)	1547	764	615.42	+	1.24	4.95E-07	2.41E-05
organophosphate biosynthetic process (GO:0090407)	490	284	194.93	+	1.46	5.16E-07	2.50E-05
production of molecular mediator of immune response (GO:0002440)	158	23	62.85	-	.37	5.30E-07	2.56E-05
negative regulation of transcription by RNA polymerase II (GO:0000122)	932	489	370.76	+	1.32	5.40E-07	2.60E-05
regulation of supramolecular fiber organization (GO:1902903)	384	232	152.76	+	1.52	6.32E-07	3.04E-05
negative regulation of phosphorylation (GO:0042326)	369	225	146.79	+	1.53	6.32E-07	3.03E-05
carbohydrate derivative metabolic process (GO:1901135)	922	484	366.79	+	1.32	6.45E-07	3.08E-05
positive regulation of intracellular signal transduction (GO:1902533)	960	501	381.90	+	1.31	6.48E-07	3.09E-05
negative regulation of cell cycle process (GO:0010948)	254	167	101.05	+	1.65	6.52E-07	3.10E-05
establishment of organelle localization (GO:0051656)	348	214	138.44	+	1.55	6.61E-07	3.13E-05
response to oxygen levels (GO:0070482)	334	207	132.87	+	1.56	6.70E-07	3.16E-05
in utero embryonic development (GO:0001701)	367	223	146.00	+	1.53	7.50E-07	3.53E-05
movement of cell or subcellular component (GO:0006928)	1413	702	562.11	+	1.25	7.98E-07	3.74E-05
spindle organization (GO:0007051)	154	114	61.26	+	1.86	8.00E-07	3.74E-05
peptide biosynthetic process (GO:0043043)	388	233	154.35	+	1.51	8.78E-07	4.10E-05
keratinization (GO:0031424)	58	2	23.07	-	.09	9.01E-07	4.19E-05
translation (GO:0006412)	366	222	145.60	+	1.52	9.06E-07	4.20E-05
DNA-dependent DNA replication (GO:0006261)	124	97	49.33	+	1.97	9.29E-07	4.30E-05
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	120	95	47.74	+	1.99	9.31E-07	4.29E-05
regulation of autophagy (GO:0010506)	317	198	126.11	+	1.57	9.61E-07	4.42E-05
organophosphate metabolic process (GO:0019637)	833	441	331.38	+	1.33	9.75E-07	4.47E-05
immunoglobulin production (GO:0002377)	155	23	61.66	-	.37	1.02E-06	4.64E-05
regulation of growth (GO:0040008)	659	361	262.16	+	1.38	1.03E-06	4.71E-05
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	16.71	-	 < 0.01	1.08E-06	4.89E-05
positive regulation of cell cycle (GO:0045787)	307	192	122.13	+	1.57	1.11E-06	5.04E-05
regulation of epithelial cell migration (GO:0010632)	230	153	91.50	+	1.67	1.13E-06	5.12E-05
peptide metabolic process (GO:0006518)	519	295	206.47	+	1.43	1.18E-06	5.31E-05
negative regulation of intracellular signal transduction (GO:1902532)	501	286	199.31	+	1.43	1.19E-06	5.34E-05
response to peptide (GO:1901652)	450	262	179.02	+	1.46	1.23E-06	5.51E-05
supramolecular fiber organization (GO:0097435)	512	291	203.68	+	1.43	1.24E-06	5.54E-05
negative regulation of cell population proliferation (GO:0008285)	704	381	280.06	+	1.36	1.27E-06	5.65E-05
regulation of protein transport (GO:0051223)	516	293	205.27	+	1.43	1.34E-06	5.95E-05
cellular response to external stimulus (GO:0071496)	313	195	124.52	+	1.57	1.35E-06	5.97E-05
cellular response to growth factor stimulus (GO:0071363)	455	264	181.01	+	1.46	1.38E-06	6.11E-05
mitotic nuclear division (GO:0140014)	164	118	65.24	+	1.81	1.50E-06	6.62E-05
muscle structure development (GO:0061061)	477	274	189.76	+	1.44	1.53E-06	6.71E-05
regulation of apoptotic signaling pathway (GO:2001233)	348	211	138.44	+	1.52	1.64E-06	7.16E-05
phagocytosis, engulfment (GO:0006911)	132	18	52.51	-	.34	1.78E-06	7.76E-05
positive regulation of gene expression (GO:0010628)	1128	571	448.74	+	1.27	1.83E-06	7.95E-05
apoptotic signaling pathway (GO:0097190)	272	173	108.21	+	1.60	2.20E-06	9.55E-05
negative regulation of mitotic cell cycle (GO:0045930)	204	138	81.15	+	1.70	2.25E-06	9.73E-05
covalent chromatin modification (GO:0016569)	362	217	144.01	+	1.51	2.41E-06	1.04E-04
positive regulation of proteolysis (GO:0045862)	371	221	147.59	+	1.50	2.50E-06	1.07E-04
cell morphogenesis (GO:0000902)	675	364	268.53	+	1.36	2.62E-06	1.13E-04
negative regulation of organelle organization (GO:0010639)	335	203	133.27	+	1.52	2.71E-06	1.16E-04
regulation of cell development (GO:0060284)	495	280	196.92	+	1.42	2.72E-06	1.16E-04
B cell mediated immunity (GO:0019724)	183	32	72.80	-	.44	3.15E-06	1.34E-04
cellular response to peptide (GO:1901653)	297	184	118.15	+	1.56	3.23E-06	1.37E-04
cellular response to oxidative stress (GO:0034599)	224	147	89.11	+	1.65	3.27E-06	1.39E-04
positive regulation of cell projection organization (GO:0031346)	350	210	139.24	+	1.51	3.31E-06	1.40E-04
negative regulation of cell cycle phase transition (GO:1901988)	207	138	82.35	+	1.68	3.47E-06	1.46E-04
angiogenesis (GO:0001525)	310	190	123.32	+	1.54	3.88E-06	1.63E-04
regulation of intracellular protein transport (GO:0033157)	235	152	93.49	+	1.63	3.99E-06	1.67E-04
histone modification (GO:0016570)	357	213	142.02	+	1.50	4.02E-06	1.68E-04
negative regulation of developmental process (GO:0051093)	877	454	348.88	+	1.30	4.08E-06	1.70E-04
regulation of endothelial cell migration (GO:0010594)	171	119	68.03	+	1.75	4.11E-06	1.71E-04
regulation of cellular protein catabolic process (GO:1903362)	256	163	101.84	+	1.60	4.17E-06	1.73E-04
localization within membrane (GO:0051668)	504	282	200.50	+	1.41	4.71E-06	1.95E-04
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	246	157	97.86	+	1.60	4.76E-06	1.97E-04
cellular response to organonitrogen compound (GO:0071417)	566	311	225.16	+	1.38	4.90E-06	2.02E-04
regulation of protein stability (GO:0031647)	306	187	121.73	+	1.54	5.40E-06	2.22E-04
protein polyubiquitination (GO:0000209)	218	143	86.72	+	1.65	5.52E-06	2.26E-04
cellular response to extracellular stimulus (GO:0031668)	237	152	94.28	+	1.61	5.57E-06	2.27E-04
autophagy (GO:0006914)	272	170	108.21	+	1.57	5.77E-06	2.35E-04
process utilizing autophagic mechanism (GO:0061919)	272	170	108.21	+	1.57	5.77E-06	2.34E-04
regulation of actin filament-based process (GO:0032970)	398	231	158.33	+	1.46	6.04E-06	2.45E-04
chromosome segregation (GO:0007059)	281	174	111.79	+	1.56	6.14E-06	2.48E-04
non-membrane-bounded organelle assembly (GO:0140694)	303	185	120.54	+	1.53	6.18E-06	2.49E-04
head development (GO:0060322)	806	420	320.64	+	1.31	6.72E-06	2.70E-04
cell population proliferation (GO:0008283)	486	272	193.34	+	1.41	6.94E-06	2.78E-04
cell development (GO:0048468)	1623	780	645.65	+	1.21	7.17E-06	2.87E-04
regulation of protein serine/threonine kinase activity (GO:0071900)	355	210	141.22	+	1.49	7.20E-06	2.87E-04
regulation of chromosome organization (GO:0033044)	286	176	113.78	+	1.55	7.21E-06	2.87E-04
cellular component morphogenesis (GO:0032989)	569	311	226.36	+	1.37	7.26E-06	2.88E-04
regulation of cellular component size (GO:0032535)	389	226	154.75	+	1.46	7.31E-06	2.89E-04
immunoglobulin mediated immune response (GO:0016064)	179	32	71.21	-	.45	7.49E-06	2.96E-04
response to radiation (GO:0009314)	453	256	180.21	+	1.42	7.64E-06	3.01E-04
regulation of DNA metabolic process (GO:0051052)	358	211	142.42	+	1.48	7.75E-06	3.05E-04
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	14.32	-	 < 0.01	7.92E-06	3.11E-04
mRNA metabolic process (GO:0016071)	564	308	224.37	+	1.37	7.95E-06	3.11E-04
negative regulation of mitotic cell cycle phase transition (GO:1901991)	152	107	60.47	+	1.77	8.51E-06	3.32E-04
response to lipid (GO:0033993)	829	429	329.79	+	1.30	8.71E-06	3.39E-04
positive regulation of protein catabolic process (GO:0045732)	237	151	94.28	+	1.60	9.04E-06	3.51E-04
regulation of proteasomal protein catabolic process (GO:0061136)	187	125	74.39	+	1.68	9.25E-06	3.58E-04
cellular protein-containing complex assembly (GO:0034622)	780	406	310.30	+	1.31	1.04E-05	4.00E-04
carbohydrate derivative biosynthetic process (GO:1901137)	539	295	214.42	+	1.38	1.05E-05	4.05E-04
peptidyl-serine modification (GO:0018209)	209	136	83.14	+	1.64	1.08E-05	4.14E-04
response to decreased oxygen levels (GO:0036293)	307	185	122.13	+	1.51	1.08E-05	4.16E-04
regulation of cell adhesion (GO:0030155)	737	386	293.19	+	1.32	1.13E-05	4.30E-04
cell part morphogenesis (GO:0032990)	483	269	192.14	+	1.40	1.13E-05	4.29E-04
plasma membrane bounded cell projection organization (GO:0120036)	1068	534	424.87	+	1.26	1.13E-05	4.30E-04
regulation of protein modification by small protein conjugation or removal (GO:1903320)	243	153	96.67	+	1.58	1.13E-05	4.29E-04
response to topologically incorrect protein (GO:0035966)	142	101	56.49	+	1.79	1.17E-05	4.43E-04
cell projection organization (GO:0030030)	1119	557	445.15	+	1.25	1.17E-05	4.42E-04
mitotic spindle organization (GO:0007052)	91	73	36.20	+	2.02	1.18E-05	4.46E-04
positive regulation of establishment of protein localization (GO:1904951)	326	194	129.69	+	1.50	1.19E-05	4.48E-04
positive regulation of intracellular transport (GO:0032388)	206	134	81.95	+	1.64	1.24E-05	4.64E-04
positive regulation of kinase activity (GO:0033674)	469	262	186.58	+	1.40	1.25E-05	4.66E-04
positive regulation of cellular protein localization (GO:1903829)	282	172	112.18	+	1.53	1.27E-05	4.73E-04
peptidyl-serine phosphorylation (GO:0018105)	185	123	73.60	+	1.67	1.43E-05	5.33E-04
response to peptide hormone (GO:0043434)	367	213	146.00	+	1.46	1.45E-05	5.40E-04
response to UV (GO:0009411)	151	105	60.07	+	1.75	1.47E-05	5.44E-04
positive regulation of epithelial cell migration (GO:0010634)	151	105	60.07	+	1.75	1.47E-05	5.42E-04
regulation of actin cytoskeleton organization (GO:0032956)	359	209	142.82	+	1.46	1.47E-05	5.44E-04
regulation of neurogenesis (GO:0050767)	359	209	142.82	+	1.46	1.47E-05	5.42E-04
cell migration (GO:0016477)	840	431	334.16	+	1.29	1.50E-05	5.50E-04
negative regulation of cell differentiation (GO:0045596)	641	341	255.00	+	1.34	1.52E-05	5.59E-04
positive regulation of protein kinase activity (GO:0045860)	387	222	153.95	+	1.44	1.55E-05	5.68E-04
locomotion (GO:0040011)	1195	588	475.39	+	1.24	1.63E-05	5.93E-04
regulation of nervous system development (GO:0051960)	438	246	174.24	+	1.41	1.72E-05	6.27E-04
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	141	88.31	+	1.60	1.80E-05	6.52E-04
regulation of response to DNA damage stimulus (GO:2001020)	222	141	88.31	+	1.60	1.80E-05	6.51E-04
protein localization to membrane (GO:0072657)	432	243	171.86	+	1.41	1.84E-05	6.65E-04
vesicle-mediated transport (GO:0016192)	1329	646	528.70	+	1.22	1.99E-05	7.16E-04
regulation of cell growth (GO:0001558)	420	237	167.08	+	1.42	2.11E-05	7.59E-04
proteolysis (GO:0006508)	1216	596	483.74	+	1.23	2.11E-05	7.59E-04
response to hypoxia (GO:0001666)	292	175	116.16	+	1.51	2.14E-05	7.66E-04
cell cycle checkpoint signaling (GO:0000075)	148	103	58.88	+	1.75	2.19E-05	7.84E-04
negative regulation of locomotion (GO:0040013)	317	187	126.11	+	1.48	2.22E-05	7.89E-04
positive regulation of protein transport (GO:0051222)	310	184	123.32	+	1.49	2.25E-05	8.01E-04
ribonucleoprotein complex biogenesis (GO:0022613)	424	238	168.67	+	1.41	2.29E-05	8.14E-04
brain development (GO:0007420)	761	393	302.74	+	1.30	2.31E-05	8.18E-04
organelle assembly (GO:0070925)	738	383	293.59	+	1.30	2.38E-05	8.40E-04
sensory perception of taste (GO:0050909)	68	6	27.05	-	.22	2.54E-05	8.96E-04
regulation of anatomical structure size (GO:0090066)	521	283	207.26	+	1.37	2.57E-05	9.03E-04
mitotic sister chromatid segregation (GO:0000070)	115	85	45.75	+	1.86	2.63E-05	9.24E-04
positive regulation of intracellular protein transport (GO:0090316)	163	110	64.84	+	1.70	2.65E-05	9.27E-04
developmental growth (GO:0048589)	359	207	142.82	+	1.45	2.68E-05	9.37E-04
negative regulation of transferase activity (GO:0051348)	270	164	107.41	+	1.53	2.71E-05	9.45E-04
cell projection morphogenesis (GO:0048858)	463	256	184.19	+	1.39	2.74E-05	9.51E-04
regulation of proteolysis (GO:0030162)	738	382	293.59	+	1.30	2.75E-05	9.53E-04
regulation of cell morphogenesis (GO:0022604)	310	183	123.32	+	1.48	2.79E-05	9.66E-04
regulation of transport (GO:0051049)	1732	818	689.02	+	1.19	2.84E-05	9.82E-04
cell morphogenesis involved in differentiation (GO:0000904)	517	281	205.67	+	1.37	2.85E-05	9.81E-04
growth (GO:0040007)	362	208	144.01	+	1.44	2.87E-05	9.88E-04
antimicrobial humoral response (GO:0019730)	141	24	56.09	-	.43	2.92E-05	1.00E-03
organelle fission (GO:0048285)	329	192	130.88	+	1.47	2.97E-05	1.02E-03
response to extracellular stimulus (GO:0009991)	499	272	198.51	+	1.37	3.01E-05	1.03E-03
response to chemical (GO:0042221)	4055	1794	1613.14	+	1.11	3.02E-05	1.03E-03
lipid biosynthetic process (GO:0008610)	570	305	226.75	+	1.35	3.26E-05	1.11E-03
regulation of cell-substrate adhesion (GO:0010810)	219	138	87.12	+	1.58	3.33E-05	1.13E-03
positive regulation of endothelial cell migration (GO:0010595)	109	81	43.36	+	1.87	3.33E-05	1.13E-03
regulation of actin filament organization (GO:0110053)	278	167	110.59	+	1.51	3.41E-05	1.15E-03
regulation of microtubule cytoskeleton organization (GO:0070507)	151	103	60.07	+	1.71	3.42E-05	1.15E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	95	53.71	+	1.77	3.51E-05	1.18E-03
cellular response to nutrient levels (GO:0031669)	207	132	82.35	+	1.60	3.52E-05	1.18E-03
neuron differentiation (GO:0030182)	1008	501	401.00	+	1.25	3.55E-05	1.19E-03
mitotic cell cycle phase transition (GO:0044772)	169	112	67.23	+	1.67	3.56E-05	1.19E-03
response to inorganic substance (GO:0010035)	554	297	220.39	+	1.35	3.58E-05	1.19E-03
plasma membrane bounded cell projection morphogenesis (GO:0120039)	459	253	182.60	+	1.39	3.63E-05	1.21E-03
neuron projection development (GO:0031175)	651	341	258.98	+	1.32	3.74E-05	1.24E-03
response to stimulus (GO:0050896)	8039	3414	3198.03	+	1.07	3.96E-05	1.31E-03
regulation of protein ubiquitination (GO:0031396)	211	133	83.94	+	1.58	4.10E-05	1.36E-03
positive regulation of binding (GO:0051099)	179	117	71.21	+	1.64	4.15E-05	1.37E-03
tissue morphogenesis (GO:0048729)	542	291	215.62	+	1.35	4.16E-05	1.37E-03
morphogenesis of an epithelium (GO:0002009)	437	242	173.85	+	1.39	4.18E-05	1.37E-03
response to starvation (GO:0042594)	199	127	79.17	+	1.60	4.28E-05	1.41E-03
negative regulation of molecular function (GO:0044092)	1132	555	450.33	+	1.23	4.29E-05	1.41E-03
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	187	121	74.39	+	1.63	4.44E-05	1.45E-03
cellular response to organic cyclic compound (GO:0071407)	515	278	204.87	+	1.36	4.55E-05	1.48E-03
positive regulation of cell cycle process (GO:0090068)	228	141	90.70	+	1.55	4.60E-05	1.50E-03
gland development (GO:0048732)	414	231	164.70	+	1.40	4.71E-05	1.53E-03
RNA processing (GO:0006396)	847	428	336.95	+	1.27	4.75E-05	1.54E-03
neuron projection morphogenesis (GO:0048812)	455	250	181.01	+	1.38	4.80E-05	1.55E-03
response to unfolded protein (GO:0006986)	120	86	47.74	+	1.80	4.91E-05	1.58E-03
sister chromatid segregation (GO:0000819)	142	97	56.49	+	1.72	5.17E-05	1.67E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	110	66.04	+	1.67	5.25E-05	1.69E-03
response to hydrogen peroxide (GO:0042542)	121	86	48.14	+	1.79	5.27E-05	1.69E-03
nuclear division (GO:0000280)	304	178	120.94	+	1.47	5.49E-05	1.76E-03
localization of cell (GO:0051674)	986	489	392.25	+	1.25	5.52E-05	1.76E-03
cell motility (GO:0048870)	986	489	392.25	+	1.25	5.52E-05	1.76E-03
central nervous system development (GO:0007417)	1002	496	398.61	+	1.24	5.53E-05	1.76E-03
negative regulation of multicellular organismal process (GO:0051241)	991	491	394.23	+	1.25	5.74E-05	1.82E-03
signal transduction in response to DNA damage (GO:0042770)	134	93	53.31	+	1.74	5.95E-05	1.89E-03
cellular response to starvation (GO:0009267)	157	105	62.46	+	1.68	6.01E-05	1.90E-03
mitotic cell cycle checkpoint signaling (GO:0007093)	118	84	46.94	+	1.79	6.02E-05	1.90E-03
negative regulation of cellular component movement (GO:0051271)	293	172	116.56	+	1.48	6.31E-05	1.99E-03
negative regulation of cell motility (GO:2000146)	285	168	113.38	+	1.48	6.36E-05	2.00E-03
response to insulin (GO:0032868)	217	135	86.33	+	1.56	6.37E-05	2.00E-03
cell cycle phase transition (GO:0044770)	177	115	70.41	+	1.63	6.42E-05	2.01E-03
neuron development (GO:0048666)	810	410	322.23	+	1.27	6.55E-05	2.05E-03
regulation of protein binding (GO:0043393)	198	125	78.77	+	1.59	6.79E-05	2.12E-03
aging (GO:0007568)	296	173	117.75	+	1.47	6.83E-05	2.13E-03
regulation of MAPK cascade (GO:0043408)	658	341	261.76	+	1.30	7.30E-05	2.27E-03
regulation of blood vessel endothelial cell migration (GO:0043535)	92	70	36.60	+	1.91	7.31E-05	2.27E-03
regulation of cellular response to growth factor stimulus (GO:0090287)	284	167	112.98	+	1.48	7.62E-05	2.36E-03
regulation of DNA replication (GO:0006275)	107	78	42.57	+	1.83	7.65E-05	2.36E-03
regulation of neuron death (GO:1901214)	318	183	126.51	+	1.45	7.72E-05	2.38E-03
double-strand break repair (GO:0006302)	189	120	75.19	+	1.60	7.98E-05	2.46E-03
negative regulation of cell migration (GO:0030336)	270	160	107.41	+	1.49	8.07E-05	2.48E-03
phospholipid biosynthetic process (GO:0008654)	240	145	95.48	+	1.52	8.39E-05	2.57E-03
epithelial tube morphogenesis (GO:0060562)	305	177	121.33	+	1.46	8.45E-05	2.59E-03
response to nutrient levels (GO:0031667)	469	254	186.58	+	1.36	8.46E-05	2.58E-03
negative regulation of protein kinase activity (GO:0006469)	205	128	81.55	+	1.57	8.65E-05	2.64E-03
negative regulation of translation (GO:0017148)	166	108	66.04	+	1.64	8.94E-05	2.72E-03
regulation of Wnt signaling pathway (GO:0030111)	325	186	129.29	+	1.44	8.97E-05	2.72E-03
response to ionizing radiation (GO:0010212)	148	99	58.88	+	1.68	8.98E-05	2.72E-03
establishment of protein localization to organelle (GO:0072594)	300	174	119.34	+	1.46	9.20E-05	2.78E-03
positive regulation of B cell activation (GO:0050871)	171	34	68.03	-	.50	9.32E-05	2.81E-03
mesenchymal cell differentiation (GO:0048762)	162	106	64.45	+	1.64	9.75E-05	2.94E-03
negative regulation of cellular amide metabolic process (GO:0034249)	188	119	74.79	+	1.59	9.82E-05	2.95E-03
positive regulation of DNA metabolic process (GO:0051054)	203	126	80.76	+	1.56	1.04E-04	3.12E-03
protein localization to nucleus (GO:0034504)	170	110	67.63	+	1.63	1.05E-04	3.13E-03
response to cytokine (GO:0034097)	807	406	321.04	+	1.26	1.08E-04	3.21E-03
respiratory tube development (GO:0030323)	177	113	70.41	+	1.60	1.08E-04	3.21E-03
regulation of cell-substrate junction organization (GO:0150116)	71	57	28.24	+	2.02	1.11E-04	3.30E-03
positive regulation of cell population proliferation (GO:0008284)	935	462	371.96	+	1.24	1.12E-04	3.33E-03
regulation of DNA-binding transcription factor activity (GO:0051090)	424	232	168.67	+	1.38	1.14E-04	3.37E-03
cellular response to abiotic stimulus (GO:0071214)	319	182	126.90	+	1.43	1.17E-04	3.45E-03
cellular response to environmental stimulus (GO:0104004)	319	182	126.90	+	1.43	1.17E-04	3.45E-03
biological adhesion (GO:0022610)	958	472	381.11	+	1.24	1.18E-04	3.47E-03
nucleocytoplasmic transport (GO:0006913)	216	132	85.93	+	1.54	1.25E-04	3.67E-03
nuclear transport (GO:0051169)	216	132	85.93	+	1.54	1.25E-04	3.67E-03
regulation of DNA biosynthetic process (GO:2000278)	110	78	43.76	+	1.78	1.26E-04	3.70E-03
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	121	84	48.14	+	1.75	1.28E-04	3.74E-03
positive regulation of cellular protein catabolic process (GO:1903364)	156	102	62.06	+	1.64	1.28E-04	3.75E-03
positive regulation of transport (GO:0051050)	909	450	361.61	+	1.24	1.32E-04	3.86E-03
vesicle organization (GO:0016050)	273	160	108.60	+	1.47	1.33E-04	3.86E-03
sensory perception of bitter taste (GO:0050913)	41	2	16.31	-	.12	1.34E-04	3.88E-03
regulation of cell cycle G2/M phase transition (GO:1902749)	101	73	40.18	+	1.82	1.36E-04	3.94E-03
cellular response to peptide hormone stimulus (GO:0071375)	234	141	93.09	+	1.51	1.36E-04	3.93E-03
plasma membrane invagination (GO:0099024)	141	26	56.09	-	.46	1.36E-04	3.94E-03
cytoplasmic translation (GO:0002181)	122	84	48.53	+	1.73	1.37E-04	3.96E-03
rhythmic process (GO:0048511)	267	157	106.22	+	1.48	1.41E-04	4.04E-03
cell adhesion (GO:0007155)	952	468	378.72	+	1.24	1.43E-04	4.12E-03
cell-cell signaling by wnt (GO:0198738)	260	153	103.43	+	1.48	1.45E-04	4.16E-03
Wnt signaling pathway (GO:0016055)	260	153	103.43	+	1.48	1.45E-04	4.15E-03
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	124	85	49.33	+	1.72	1.50E-04	4.29E-03
cell junction organization (GO:0034330)	477	255	189.76	+	1.34	1.56E-04	4.44E-03
cellular response to insulin stimulus (GO:0032869)	149	98	59.27	+	1.65	1.61E-04	4.58E-03
axon development (GO:0061564)	375	207	149.18	+	1.39	1.67E-04	4.74E-03
killing of cells of other organism (GO:0031640)	86	12	34.21	-	.35	1.81E-04	5.15E-03
negative regulation of kinase activity (GO:0033673)	229	137	91.10	+	1.50	1.84E-04	5.22E-03
detection of light stimulus (GO:0009583)	61	6	24.27	-	.25	1.88E-04	5.31E-03
response to reactive oxygen species (GO:0000302)	186	116	73.99	+	1.57	1.89E-04	5.35E-03
nucleobase-containing compound transport (GO:0015931)	223	134	88.71	+	1.51	1.93E-04	5.44E-03
nucleobase-containing small molecule metabolic process (GO:0055086)	493	261	196.12	+	1.33	1.94E-04	5.46E-03
regulation of macroautophagy (GO:0016241)	141	93	56.09	+	1.66	1.95E-04	5.48E-03
response to steroid hormone (GO:0048545)	281	162	111.79	+	1.45	1.97E-04	5.52E-03
regulation of epithelial cell proliferation (GO:0050678)	338	189	134.46	+	1.41	2.07E-04	5.78E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	93	68	37.00	+	1.84	2.09E-04	5.83E-03
DNA integrity checkpoint signaling (GO:0031570)	114	79	45.35	+	1.74	2.11E-04	5.89E-03
